state,term,position,result
ca,food,"32.799999999999997,-117.09999999999999|32.7,-117.2",3325
ca,food,"32.799999999999997,-117.0|32.7,-117.1",1118
ca,food,"32.799999999999997,-117.2|32.7,-117.3",1191
ca,food,"32.899999999999999,-117.2|32.8,-117.3",1009
ca,food,"33.700000000000003,-117.8|33.6,-117.9",1462
ca,food,"33.700000000000003,-117.90000000000001|33.6,-118.0",1357
ca,food,"33.799999999999997,-117.8|33.7,-117.9",1629
ca,food,"33.799999999999997,-117.90000000000001|33.7,-118.0",1838
ca,food,"33.799999999999997,-118.09999999999999|33.7,-118.2",1491
ca,food,"33.899999999999999,-117.90000000000001|33.8,-118.0",1785
ca,food,"33.899999999999999,-118.09999999999999|33.8,-118.2",1208
ca,food,"33.899999999999999,-118.0|33.8,-118.1",1323
ca,food,"33.899999999999999,-118.3|33.8,-118.4",2132
ca,food,"34.0,-118.09999999999999|33.9,-118.2",1015
ca,food,"34.0,-118.3|33.9,-118.4",1463
ca,food,"34.0,-118.40000000000001|33.9,-118.5",1132
ca,food,"34.100000000000001,-118.09999999999999|34.0,-118.2",1460
ca,food,"34.100000000000001,-118.0|34.0,-118.1",1013
ca,food,"34.100000000000001,-118.2|34.0,-118.3",4564
ca,food,"34.100000000000001,-118.3|34.0,-118.4",4370
ca,food,"34.100000000000001,-118.40000000000001|34.0,-118.5",3238
ca,food,"34.200000000000003,-118.09999999999999|34.1,-118.2",1530
ca,food,"34.200000000000003,-118.0|34.1,-118.1",1041
ca,food,"34.200000000000003,-118.2|34.1,-118.3",1633
ca,food,"34.200000000000003,-118.3|34.1,-118.4",2249
ca,food,"34.200000000000003,-118.40000000000001|34.1,-118.5",1148
ca,food,"34.299999999999997,-118.5|34.2,-118.6",1128
ca,food,"37.299999999999997,-121.90000000000001|37.2,-122.0",1125
ca,food,"37.399999999999999,-121.8|37.3,-121.9",2071
ca,food,"37.399999999999999,-121.90000000000001|37.3,-122.0",1995
ca,food,"37.399999999999999,-122.0|37.3,-122.1",1410
ca,food,"37.5,-122.09999999999999|37.4,-122.2",1078
ca,food,"37.600000000000001,-122.3|37.5,-122.4",1019
ca,food,"37.700000000000003,-122.40000000000001|37.6,-122.5",1259
ca,food,"37.799999999999997,-122.2|37.7,-122.3",1425
ca,food,"37.799999999999997,-122.3|37.7,-122.4",1391
ca,food,"37.799999999999997,-122.40000000000001|37.7,-122.5",9450
ca,food,"37.899999999999999,-122.2|37.8,-122.3",3509
ca,food,"38.0,-122.0|37.9,-122.1",1060
ca,food,"38.600000000000001,-121.40000000000001|38.5,-121.5",1805
ca,restaurant,"32.799999999999997,-117.09999999999999|32.7,-117.2",1535
ca,restaurant,"33.799999999999997,-117.90000000000001|33.7,-118.0",1137
ca,restaurant,"33.899999999999999,-118.3|33.8,-118.4",1157
ca,restaurant,"34.100000000000001,-118.2|34.0,-118.3",2552
ca,restaurant,"34.100000000000001,-118.3|34.0,-118.4",2307
ca,restaurant,"34.100000000000001,-118.40000000000001|34.0,-118.5",1476
ca,restaurant,"34.200000000000003,-118.3|34.1,-118.4",1055
ca,restaurant,"36.200000000000003,-115.09999999999999|36.1,-115.2",1386
ca,restaurant,"37.399999999999999,-121.8|37.3,-121.9",1045
ca,restaurant,"37.799999999999997,-122.40000000000001|37.7,-122.5",3639
ca,restaurant,"37.899999999999999,-122.2|37.8,-122.3",1453
